ID,Section,Control,Base,ITEM,DESCRIPTION,MSRP 25,Notes,Requires,Link
E1,Base,DDR,EM,PNG50162-1,EasyStand Evolv Medium,2409,,,
E2,Base,DDR,EL,PNG50084-1,EasyStand Evolv Large,2409,,,
E3,Base,DDR,EX,PNG50209-1,EasyStand Evolv XT,2409,,,
E4,Base,CB,EX,PNG50377,Extra Tall Configuration,1464,,PNG502-9,
E5,,Lable,Lift Mechanisms-must select one,,,,,,
E6,Lift Mechanisms,DDR,"EM, GM",PNG50113,Hydraulic Pump,0,,PNG50162-1,
E7,Lift Mechanisms,DDR,"EL, GL",PNG50009,Hydraulic Pump,0,,PNG50084-1,
E8,Lift Mechanisms,DDR,EX,PNG50320,Hydraulic Pump,0,,PNG50209-1,
E9,,Lable,Manual Hydraulic Actuator Handle Location,,,,,,
E10,Manual Hydraulic Actuator Handle Location,DDR,"EL, EM, EX, GL, GM",PNG50059,Pump Handle Right Side,0,,,
E11,Manual Hydraulic Actuator Handle Location,DDR,"EL, EM, EX, GL, GM",PNG50126,Pump Handle Left Side,0,,,
E12,,Lable,Manual Hydraulic Actuator Handle Accessories,,,,,,
E13,Manual Hydraulic Actuator Handle Location,DDR,"EL, EM, EX, GL, GM",PNG50328,Adjustable/Removable Actuator Handle,257,,,
E14,Manual Hydraulic Actuator Handle Accessories,DDR,"BM, BS, BX, EL, EM, EX, GL, GM, SS",PNG50260,Straight Pump Handle Extension,0,,"PNG50059, PNG50126, PNG50328",
E15,Manual Hydraulic Actuator Handle Accessories,DDR,"BM, BS, BX, EL, EM, EX, GL, GM, SS",PNG50044,Quad Grip Handle Extension,278,,"PNG50059, PNG50126, PNG50328",
E16,Manual Hydraulic Actuator Handle Accessories,DDR,"BM, BS, BX, EL, EM, EX, GL, GM, SS",PNG50070,T-Style Handle Extension,174,,"PNG50059, PNG50126, PNG50328",
E17,,Lable,Power Up,,,,,,
E18,Lift Mechanisms,DDR,"EL, EM, GL, GM",PNG50010,Pow'r Up Lift,1419,,,
E19,Lift Mechanisms,DDR,EX,PNG50321,Pow'r Up Lift,1419,,,
E20,Plugs,DDR,,P600400,US /Japan Power Plug,,Default,"PNG50321, PNG50010",
E21,Plugs,DDR,,P600401,U.K Power Plug,,,"PNG50321, PNG50010",
E22,Plugs,DDR,,P600402,Australian Power Plug,,,"PNG50321, PNG50010",
E23,Plugs,DDR,,P600403,European Power Plug,,,"PNG50321, PNG50010",
E24,,Lable,Front Frames and Trays,,,,,,
E25,,Lable,Shadow Tray Frame-back required*,,,,,,
E26,Shadow Tray Frame,DDR,"EL, EM",PNG51042R,Swing Away Front for Shadow Tray with Wheels,655,,,
E27,Shadow Tray Frame,DDR,"EL, EM",PNG51042L,Swing Away Front for Shadow Tray with Wheels,655,,,
E28,Shadow Tray Frame,DDR,"EL, EM",PNG51044R,Swing Away Front for Shadow Tray with Swivel Casters,855,,,
E29,Shadow Tray Frame,DDR,"EL, EM",PNG51044L,Swing Away Front for Shadow Tray with Swivel Casters,855,,,
E30,Shadow Tray Frame,DDR,"EL, EM",PNG51050,Column Front for Shadow Tray with Wheels,571,,,
E31,Shadow Tray Frame,DDR,EX,PNG51054,Column Front for Shadow Tray with Wheels,571,,,
