ID,Section,Control,Base,ITEM,DESCRIPTION,MSRP 25,Off Unit,MSRP 26,Notes,Requires,Link
SC1,Frame Color,DDR,,,Black (standard),,,,,,https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Black-Standard-SC-1-scaled.jpg?resize=600%2C600&ssl=1
SC2,Frame Color,DDR,,,Red,,,,,,https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/RED-SC-1-scaled.jpg?resize=600%2C600&ssl=1
SC3,Frame Color,DDR,,,Blue,,,,,,https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Blue-SC-1-scaled.jpg?resize=600%2C600&ssl=1
SC4,Frame Color,DDR,,,Silver,,,,,,https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Silver-SC-scaled.jpg?resize=600%2C600&ssl=1
SC5,Frame Color,DDR,,,White,,,,,,https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/White-SC-1-scaled.jpg?resize=600%2C600&ssl=1
SC6,Frame,DDR,,PC5002,"Frame - 16""W x 16""D - Short",3240,3240,1895, (may limit access over toilets),,
SC7,Frame,DDR,,PC5003,"Frame - 16""W x 18""D - Short",3635,3635,1895, (may limit access over toilets),,
SC8,Frame,DDR,,PC5004,"Frame - 16""W x 20""D - Short",3635,3635,1895, (may limit access over toilets),,
SC9,Frame,DDR,,PC5005,"Frame - 16""W x 16""D - Standard",2845,2845,1895, (may limit access over toilets),,
SC10,Frame,DDR,,PC5006,"Frame - 16""W x 18""D - Standard",3240,3240,1895, (may limit access over toilets),,
SC11,Frame,DDR,,PC5007,"Frame - 16""W x 20""D - Standard",3240,3240,1895, (may limit access over toilets),,
SC12,Frame,DDR,,PC5000,"Frame - 18""W x 16""D - Short",2745,2745,1895,,,
SC13,Frame,DDR,,PC5008,"Frame - 18""W x 18""D - Short",3140,3140,1895,,,
SC14,Frame,DDR,,PC5009,"Frame - 18""W x 20""D - Short",3140,3140,1895,,,
SC15,Frame,DDR,,PC5001,"Frame - 18""W x 16""D - Standard (Default)",2350,2350,1895,,,
SC16,Frame,DDR,,PC5010,"Frame - 18""W x 18""D - Standard",2745,2745,1895,,,
SC17,Frame,DDR,,PC5011,"Frame - 18""W x 20""D - Standard",2745,2745,1895,,,
SC18,Frame,DDR,,PC5012,"Frame - 20""W x 16""D - Short",3240,3240,1895,,,
SC19,Frame,DDR,,PC5013,"Frame - 20""W x 18""D - Short",3635,3635,1895,,,
SC20,Frame,DDR,,PC5014,"Frame - 20""W x 20""D - Short",3635,3635,1895,,,
SC21,Frame,DDR,,PC5015,"Frame - 20""W x 16""D - Standard",2845,2845,1895,,,
SC22,Frame,DDR,,PC5016,"Frame - 20""W x 18""D - Standard",3240,3240,1895,,,
SC23,Frame,DDR,,PC5017,"Frame - 20""W x 20""D - Standard",3240,3240,1895,,,
SC24,Seats,DDR,,PC5900,"16""Wx16""D Front Opening",460,460,460,,"PC5002, PC5005",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-4.jpeg?resize=600%2C600&ssl=1
SC25,Seats,DDR,,PC5901,"16""Wx16""D Closed",560,560,560,,"PC5002, PC5005",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-6.jpeg?resize=600%2C600&ssl=1
SC26,Seats,DDR,,PC5902,"16""Wx16""D Left Side Opening",560,560,560,,"PC5002, PC5005",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-5.jpeg?resize=600%2C600&ssl=1
SC27,Seats,DDR,,PC5903,"16""Wx16""D Right Side Opening",560,560,560,,"PC5002, PC5005",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-6.jpeg?resize=600%2C600&ssl=1
SC28,Seats,DDR,,PC5904,"16""Wx16""D Rear Opening",560,560,560,,"PC5002, PC5005",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-3.jpeg?resize=600%2C600&ssl=1
SC29,Seats,DDR,,PC5905,"16""Wx16""D Solid",560,560,560,,"PC5002, PC5005",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/10/SolidSeat-scaled.jpg?resize=768%2C765&ssl=1
SC30,Seats,DDR,,PC5906,"16""Wx18""D Front Opening",560,560,560,,"PC5003, PC5006",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-4.jpeg?resize=600%2C600&ssl=1
SC31,Seats,DDR,,PC5907,"16""Wx18""D Closed",660,660,660,,"PC5003, PC5006",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-6.jpeg?resize=600%2C600&ssl=1
SC32,Seats,DDR,,PC5908,"16""Wx18""D Left Side Opening",660,660,660,,"PC5003, PC5006",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-5.jpeg?resize=600%2C600&ssl=1
SC33,Seats,DDR,,PC5909,"16""Wx18""D Right Side Opening",660,660,660,,"PC5003, PC5006",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-6.jpeg?resize=600%2C600&ssl=1
SC34,Seats,DDR,,PC5910,"16""Wx18""D Rear Opening",660,660,660,,"PC5003, PC5006",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-3.jpeg?resize=600%2C600&ssl=1
SC35,Seats,DDR,,PC5911,"16""Wx18""D Solid",660,660,660,,"PC5003, PC5006",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/10/SolidSeat-scaled.jpg?resize=768%2C765&ssl=1
SC36,Seats,DDR,,PC5912,"16""Wx20""D Front Opening",560,560,560,,"PC5004, PC5007,",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-4.jpeg?resize=600%2C600&ssl=1
SC37,Seats,DDR,,PC5913,"16""Wx20""D Closed",660,660,660,,"PC5004, PC5007,",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-6.jpeg?resize=600%2C600&ssl=1
SC38,Seats,DDR,,PC5914,"16""Wx20""D Left Side Opening",660,660,660,,"PC5004, PC5007,",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-5.jpeg?resize=600%2C600&ssl=1
SC39,Seats,DDR,,PC5915,"16""Wx20""D Right Side Opening",660,660,660,,"PC5004, PC5007,",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-6.jpeg?resize=600%2C600&ssl=1
SC40,Seats,DDR,,PC5916,"16""Wx20""D Rear Opening",660,660,660,,"PC5004, PC5007,",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-3.jpeg?resize=600%2C600&ssl=1
SC41,Seats,DDR,,PC5917,"16""Wx20""D Solid",660,660,660,,"PC5004, PC5007,",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/10/SolidSeat-scaled.jpg?resize=768%2C765&ssl=1
SC42,Seats,DDR,,PC5918,"18""Wx16""D Front Opening - Standard",0,460,460,,"PC5000, PC5001",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-4.jpeg?resize=600%2C600&ssl=1
SC43,Seats,DDR,,PC5954,"18""Wx16""D Front Opening - Gel",560,560,560,,"PC5000, PC5001",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/IMG_3439-scaled-e1737663670187.jpg?resize=600%2C600&ssl=1
SC44,Seats,DDR,,PC5919,"18""Wx16""D Closed",460,460,460,,"PC5000, PC5001",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-6.jpeg?resize=600%2C600&ssl=1
SC45,Seats,DDR,,PC5920,"18""Wx16""D Left Side Opening",460,460,460,,"PC5000, PC5001",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-5.jpeg?resize=600%2C600&ssl=1
SC46,Seats,DDR,,PC5921,"18""Wx16""D Right Side Opening",460,460,460,,"PC5000, PC5001",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-6.jpeg?resize=600%2C600&ssl=1
SC47,Seats,DDR,,PC5922,"18""Wx16""D Rear Opening",460,460,460,,"PC5000, PC5001",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-3.jpeg?resize=600%2C600&ssl=1
SC48,Seats,DDR,,PC5923,"18""Wx16""D Solid",460,460,460,,"PC5000, PC5001",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/10/SolidSeat-scaled.jpg?resize=768%2C765&ssl=1
SC49,Seats,DDR,,PC61192,"18""Wx18""D Front Open - Molded",460,460,460,,"PC5008, PC5010",https://i0.wp.com/activeaid.com/wp-content/uploads/2025/01/Untitled-4.jpeg?resize=600%2C600&ssl=1
