ID,Section,Control,Base,ITEM,DESCRIPTION,MSRP 25,Notes,Requires,Link
Z21,Base,DDR,Zmps2,PB5500,Zing MPS Gas Spring Size 2,1853,,,
Z22,Base,DDR,Zmps2,PB5502,Zing SUPINE Gas Spring Size 2,1802,,,
Z23,Base,DDR,Zmps2,PB5504,Zing MPS Pow'r Up Lift Size 2,3330,,,
Z24,Base,DDR,Zmps2,PB5506,Zing SUPINE Pow'r Up Lift Size 2,3330,,,
Z25,Base,DDR,Zmpstt2,PB5562,Zing MPS Tilt Table Gas Spring Lift Size 2,1853,,,
Z26,Base,DDR,Zmpstt2,PB5564,Zing SUPINE Tilt Table Gas Spring Lift Size 2,1802,,,
Z27,Base,DDR,Zmpstt2,PB5566,Zing MPS Tilt Table Pow’r Up Lift Size 2,3330,,,
Z28,Base,DDR,Zmpstt2,PB5568,Zing SUPINE Tilt Table Pow’r Up Lift Size 2,3330,,,
Z29,Base,DDR,Zprone2,PB5606,Zing Prone Gas Spring Lift,1802,,,
Z30,Base,DDR,Zprone2,PB5608,Zing Prone Pow’r Up Lift,3330,,,
Z31,,Lable,"Zmps1, Zmpstt1, Zprone1",Frame Color - must select one,,,,,
Z32,Frame Color,DDR,"Zmps2, Zmpstt2, Zprone2",Green,Green,0,Default,,https://zingstanders.com/wp-content/uploads/2019/03/green-color-swatch-300x300.png
Z33,Frame Color,DDR,"Zmps2, Zmpstt2, Zprone2",Purple,Purple,0,,,https://zingstanders.com/wp-content/uploads/2019/03/purple-color-swatch-300x300.png
Z34,Frame Color,DDR,"Zmps2, Zmpstt2, Zprone2",White,White,0,,,https://zingstanders.com/wp-content/uploads/2019/03/white-color-swatch-1-300x300.png
Z35,Frame Color,DDR,"Zmps2, Zmpstt2, Zprone2",Orange,Orange,0,,,https://zingstanders.com/wp-content/uploads/2019/03orange-color-swatch-1-300x300.png
Z36,,Lable,"Zmps1, Zmpstt1, Zprone1",Mast-must select one,,,,,
Z37,Mast,DDR,"Zmps2, Zmpstt2, Zprone2",PB5512,Mast,790,,,
Z38,Mast,DDR,"Zmps2, Zmpstt2, Zprone2",PB5514,Mast with Leg Abduction,1107,Default,,
Z39,,Lable,"Zmps1, Zmpstt1, Zprone1",Lift Mechanisms,,,,,
Z40,Dual Control,CB,"Zmps2, Zmpstt2",PB5516,Dual Control,154," (foot and hand controls, push handle required)",PB5560,
Z41,Dual Control,CB,Zprone2,PB5640,Dual Control,154," (foot and hand controls, push handle required)",PB5632,
Z42,Lockout,CB,"BS, BX, Zmps2, Zmpstt2, Zprone2",PA5614,Gas Spring Lift Lockout,127, (not available with pow’r up lift),,
Z43,,Lable,"Zmps1, Zmpstt1, Zprone1",Caster-must select one,,,,,
Z44,Caster,DDR,,PB5508,Standard Swivel Caster Zing Size 2,,Default,,
Z45,Caster,DDR,"Zmps2, Zmpstt2, Zprone2",PB5510,Directional Locking Caster,107, (replaces one swivel caster),,https://zingstanders.com/wp-content/uploads/2019/02/PA5608-Directional-Locking-Caster-324x324.jpg
Z46,,Lable,"Zmps1, Zmpstt1, Zprone1",Foot Plates-must select one,,,,,
Z47,Foot Plates,DDR,"Zmps2, Zmpstt2",PB5520,"Multi-Adjustable Foot Plates with Foot Holders-7.75""Lx3.25""W",446, (pair),,
Z48,Foot Plates,DDR,"Zmps2, Zmpstt2",PB5522,"Multi-Adjustable Foot Plates with Foot Holders-9.75""Lx4""W",446,Default (pair),,
Z49,Foot Plates,DDR,"Zmps2, Zmpstt2",PB5524,"Multi-Adjustable Foot Plates with Foot Holders-11.75""Lx5""W",446, (pair),,
Z50,Foot Plates,DDR,Zprone2,PB5616,"Multi-Adjustable Foot Plates with Foot Holders-7.75""Lx3.25""W",446, (pair),,
Z51,Foot Plates,DDR,Zprone2,PB5618,"Multi-Adjustable Foot Plates with Foot Holders-9.75""Lx4""W",446,Default (pair),,
Z52,Foot Plates,DDR,Zprone2,PB5620,"Multi-Adjustable Foot Plates with Foot Holders-11.75""Lx5""W",446, (pair),,
Z53,,Lable,"Zmps1, Zmpstt1, Zprone1",Foot Support Accessories,,,,,
Z54,Foot Straps,DD,"Zmps2, Zmpstt2, Zprone2",PA5546,"Secure Foot Straps-8""L",120," (length over top of foot, pair)",,
Z55,Foot Straps,DD,"Zmps2, Zmpstt2, Zprone2",PT50082,"Secure Foot Straps-10""L",132," (length over top of foot, pair)",,https://zingstanders.com/wp-content/uploads/2019/03/PA5546-extra-smalll-secure-footstraps-324x324.jpg
Z56,Foot Straps,DD,"Zmps2, Zmpstt2, Zprone2",PY5638,"Secure Foot Straps-15""L",142," (length over top of foot, pair)",,https://zingstanders.com/wp-content/uploads/2019/03/PA5548-extra-smalll-footstraps-324x324.jpg
